"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"456","CD8 TEM","PMC5372383","ENL links histone acetylation to oncogenic gene expression in AML","NIHMS850328-supplement-supp_table1.xlsx","Table_S6_MV411_F-ENL_ChIP_peak-within_genebody",2130,207,2.09,4.38e-27,1.34e-23,"NIHMS850328-supplement-supp_table1 $ Table_S6_MV411_F-ENL_ChIP_peak-within_genebody",6
"457","CD4 TCM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","CD4_Naive-Gene_symbol",1584,196,2.17,3.55e-27,1.36e-23,"41467_2022_30893_MOESM8_ESM $ CD4_Naive-Gene_symbol",4
"458","CD8 TEM","PMC8298514","Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis","41467_2021_24813_MOESM13_ESM.xlsx","EC-Nor-SYMBOL",926,123,2.85,4.52e-27,1.37e-23,"41467_2021_24813_MOESM13_ESM $ EC-Nor-SYMBOL",4
"459","CD4 TCM","PMC10266353","HIV-1 activates oxidative phosphorylation in infected CD4 T cells in a human tonsil explant model","Table_4.csv","Unnamed_0",1523,191,2.2,3.68e-27,1.4e-23,"Table_4.csv $ Unnamed_0",2
"460","CD8 TEM","PMC8795627","Single-Cell Transcriptome Profiling Unravels Distinct Peripheral Blood Immune Cell Signatures of RRMS and MOG Antibody-Associated Disease","Table_6.xlsx","Sheet1-Table_S6_Marker_genes_of_B_cell_subsets_identified_by_scRNA-seq",695,104,3.22,5.04e-27,1.52e-23,"Table_6 $ Sheet1-Table_S6_Marker_genes_of_B_cell_subsets_identified_by_scRNA-seq",2
"461","CD4 TCM","PMC10259667","Single‐cell atlas reveals a distinct immune profile fostered by T cell‐B cell crosstalk in triple negative breast cancer","CAC2-43-661-s001.xlsx","S12-Supplementary_Table_S12_Differentially_expressed_genes_among_Pre-branch_Path_I_and_Path_II",1180,162,2.4,4.08e-27,1.54e-23,"CAC2-43-661-s001 $ S12-Supplementary_Table_S12_Differentially_expressed_genes_among_Pre-branch_Path_I_and_Path_II",4
"462","CD4 TCM","PMC8800370","CD19-CAR T cells undergo exhaustion DNA methylation programming in patients with acute lymphoblastic leukemia","NIHMS1769771-supplement-Supplemental_Table_1.xlsx","all_methylated_Kmeans-Unnamed_19",1204,164,2.38,4.47e-27,1.68e-23,"NIHMS1769771-supplement-Supplemental_Table_1 $ all_methylated_Kmeans-Unnamed_19",3
"463","CD8 TEM","PMC9525123","TDO2+ myofibroblasts mediate immune suppression in malignant transformation of squamous cell carcinoma","jci-132-157649-s090.xlsx","S4_DEGs-Unnamed_6",1902,192,2.17,5.99e-27,1.8e-23,"jci-132-157649-s090 $ S4_DEGs-Unnamed_6",4
"464","CD14 Mono","PMC9288051","Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia","13046_2022_2428_MOESM4_ESM.xlsx","Super_enhancers_in_AML2-CLOSEST_GENE",539,80,4.09,1.37e-27,1.81e-23,"13046_2022_2428_MOESM4_ESM $ Super_enhancers_in_AML2-CLOSEST_GENE",4
"465","CD16 Mono","PMC9307320","Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration","si_table_6_ddac043.xlsx","macrophage-inf-gene",1360,120,2.96,3.7e-28,1.85e-23,"si_table_6_ddac043 $ macrophage-inf-gene",2
"466","CD8 TEM","PMC9293955","Immunodeficiency syndromes differentially impact the functional profile of SARS-CoV-2-specific T cells elicited by mRNA vaccination","mmc3.xlsx","Table_S5_CD8_clusters-Unnamed_0",2136,207,2.08,6.36e-27,1.9e-23,"mmc3 $ Table_S5_CD8_clusters-Unnamed_0",4
"467","CD8 TEM","PMC8626557","Neoadjuvant PD-1 blockade induces T cell and cDC1 activation but fails to overcome the immunosuppressive tumor associated macrophages in recurrent glioblastoma","41467_2021_26940_MOESM7_ESM.xlsx","A-Markers-Unnamed_7",1488,164,2.37,7e-27,2.09e-23,"41467_2021_26940_MOESM7_ESM $ A-Markers-Unnamed_7",3
"468","CD8 TEM","PMC9418858","A single-cell transcriptional gradient in human cutaneous memory T cells restricts Th17/Tc17 identity","mmc4.xlsx","a_Cluster_markers_T_cells-gene",1167,141,2.6,7.18e-27,2.13e-23,"mmc4 $ a_Cluster_markers_T_cells-gene",2
"469","CD8 TEM","PMC10027853","Clonal dynamics of alloreactive T cells in kidney allograft rejection after anti-PD-1 therapy","41467_2023_37230_MOESM7_ESM.xlsx","sc_nonNaive_RNA_cluster_markers-gene",2394,223,2,7.25e-27,2.14e-23,"41467_2023_37230_MOESM7_ESM $ sc_nonNaive_RNA_cluster_markers-gene",5
"470","CD14 Mono","PMC4746609","The transcriptional regulator network of human inflammatory macrophages is defined by open chromatin","cr20161x9.xlsx","3C_MIL4_all_SE-Unnamed_15",465,74,4.38,1.71e-27,2.22e-23,"cr20161x9 $ 3C_MIL4_all_SE-Unnamed_15",1
"471","CD8 TEM","PMC8626557","Neoadjuvant PD-1 blockade induces T cell and cDC1 activation but fails to overcome the immunosuppressive tumor associated macrophages in recurrent glioblastoma","41467_2021_26940_MOESM7_ESM.xlsx","B-DEG-Unnamed_7",1665,176,2.27,7.91e-27,2.33e-23,"41467_2021_26940_MOESM7_ESM $ B-DEG-Unnamed_7",4
"472","CD8 TEM","PMC9791140","Single-cell Transcriptomics Reveals Early Molecular and Immune Alterations Underlying the Serrated Neoplasia Pathway Toward Colorectal Cancer","mmc2.xlsx","Table_S10-Supplementary_Table_10_Differentially_expressed_genes_of_CD8_T_cells_in_SLs_and_normal_mucosa",1209,144,2.56,7.99e-27,2.34e-23,"mmc2 $ Table_S10-Supplementary_Table_10_Differentially_expressed_genes_of_CD8_T_cells_in_SLs_and_normal_mucosa",3
"473","CD14 Mono","PMC9996085","Single-cell RNA-seq analysis identifies distinct myeloid cells in a case with encephalitis temporally associated with COVID-19 vaccination","Table_4.xlsx","Sheet_1_-_Supplementary_Table_1-Unnamed_7",1864,162,2.39,1.94e-27,2.47e-23,"Table_4 $ Sheet_1_-_Supplementary_Table_1-Unnamed_7",4
"474","CD8 TEM","PMC8626557","Neoadjuvant PD-1 blockade induces T cell and cDC1 activation but fails to overcome the immunosuppressive tumor associated macrophages in recurrent glioblastoma","41467_2021_26940_MOESM7_ESM.xlsx","B-DEG-Supplementary_Data_4_Seurat_based_clustering_of_all_peripheral_lymphoid_cells_analyzed_by_scRNA-seq",1666,176,2.27,8.49e-27,2.47e-23,"41467_2021_26940_MOESM7_ESM $ B-DEG-Supplementary_Data_4_Seurat_based_clustering_of_all_peripheral_lymphoid_cells_analyzed_by_scRNA-seq",4
"475","CD4 TCM","PMC8363470","A monocyte/dendritic cell molecular signature of SARS-CoV-2-related multisystem inflammatory syndrome in children with severe myocarditis","mmc3.xlsx","FigS5D_-_MIS-C_MYO_vs_MIS-C-T_cells",759,123,2.84,6.64e-27,2.48e-23,"mmc3 $ FigS5D_-_MIS-C_MYO_vs_MIS-C-T_cells",2
"476","CD8 TEM","PMC9532436","Identification of distinct functional thymic programming of fetal and pediatric human γδ thymocytes via single-cell analysis","41467_2022_33488_MOESM6_ESM.xlsx","Hoja1-Unnamed_4",735,107,3.13,8.59e-27,2.49e-23,"41467_2022_33488_MOESM6_ESM $ Hoja1-Unnamed_4",3
"477","CD4 TCM","PMC5472579","TGF-beta/atRA-induced Tregs express a selected set of microRNAs involved in the repression of transcripts related to Th17 differentiation","41598_2017_3456_MOESM2_ESM.xls","default-Gene_Symbol",2039,231,1.98,7.01e-27,2.6e-23,"41598_2017_3456_MOESM2_ESM $ default-Gene_Symbol",3
"478","CD4 TCM","PMC7857060","COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas","mmc5.xlsx","NKV_vs_V--Unnamed_16",2040,231,1.98,7.52e-27,2.77e-23,"mmc5 $ NKV_vs_V--Unnamed_16",4
"479","CD14 Mono","PMC9271696","Revealing the Key MSCs Niches and Pathogenic Genes in Influencing CEP Homeostasis: A Conjoint Analysis of Single-Cell and WGCNA","Table_2.xlsx","Blood_cell-p_val",1148,121,2.9,2.28e-27,2.8e-23,"Table_2 $ Blood_cell-p_val",4
"480","CD14 Mono","PMC9271696","Revealing the Key MSCs Niches and Pathogenic Genes in Influencing CEP Homeostasis: A Conjoint Analysis of Single-Cell and WGCNA","Table_2.xlsx","Blood_cell-entrezID",1148,121,2.9,2.28e-27,2.8e-23,"Table_2 $ Blood_cell-entrezID",4
"481","CD4 TCM","PMC3426530","Ago HITS-CLIP Expands Understanding of Kaposi's Sarcoma-associated Herpesvirus miRNA Function in Primary Effusion Lymphomas","ppat.1002884.s014.xlsx","A_BCBL-1_2of3-Supplementary_Table_S3A",2307,251,1.9,7.85e-27,2.88e-23,"ppat.1002884.s014 $ A_BCBL-1_2of3-Supplementary_Table_S3A",3
"482","CD8 TEM","PMC9395525","Single cell transcriptomic analysis of the immune cell compartment in the human small intestine and in Celiac disease","41467_2022_32691_MOESM4_ESM.xlsx","fig_1f_cluster_markers_table-gene",2191,210,2.06,1.01e-26,2.92e-23,"41467_2022_32691_MOESM4_ESM $ fig_1f_cluster_markers_table-gene",4
"483","CD4 TCM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","CD8T-Gene_symbol",1770,210,2.08,8.2e-27,2.99e-23,"41467_2022_30893_MOESM8_ESM $ CD8T-Gene_symbol",3
"484","CD14 Mono","PMC10011423","Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences","42003_2023_4623_MOESM5_ESM.xlsx","Fetal_CD14_Monocytes-Gene",735,94,3.52,2.52e-27,3.03e-23,"42003_2023_4623_MOESM5_ESM $ Fetal_CD14_Monocytes-Gene",2
"485","CD8 TEM","PMC8595268","Identification of Key Immune-Related Genes in the Progression of Septic Shock","Data_Sheet_2.xlsx","Figure_10-gene",1911,192,2.16,1.08e-26,3.11e-23,"Data_Sheet_2 $ Figure_10-gene",4
"486","NK","PMC6642679","Epigenetic programming underpins B cell dysfunction in human SLE","NIHMS1529080-supplement-4.xlsx","Sheet1-Unnamed_1",1794,140,2.62,7.95e-28,3.6e-23,"NIHMS1529080-supplement-4 $ Sheet1-Unnamed_1",2
"487","NK","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S8-Unnamed_8",2017,150,2.5,9.07e-28,3.6e-23,"Data_Sheet_2 $ Table_S8-Unnamed_8",3
"488","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","Ttest_nk-Unnamed_0",1399,121,2.91,9.41e-28,3.6e-23,"12859_2022_4817_MOESM4_ESM $ Ttest_nk-Unnamed_0",2
"489","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","LR_nk-Unnamed_0",1399,121,2.91,9.41e-28,3.6e-23,"12859_2022_4817_MOESM4_ESM $ LR_nk-Unnamed_0",2
"490","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","ROC_nk-Unnamed_0",1399,121,2.91,9.41e-28,3.6e-23,"12859_2022_4817_MOESM4_ESM $ ROC_nk-Unnamed_0",2
"491","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","Wilcox_nk-Unnamed_0",1399,121,2.91,9.41e-28,3.6e-23,"12859_2022_4817_MOESM4_ESM $ Wilcox_nk-Unnamed_0",2
"492","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","MAST_nk-Unnamed_0",1399,121,2.91,9.41e-28,3.6e-23,"12859_2022_4817_MOESM4_ESM $ MAST_nk-Unnamed_0",2
"493","CD8 TEM","PMC8289849","Single-cell transcriptome and TCR profiling reveal activated and expanded T cell populations in Parkinson’s disease","41421_2021_280_MOESM4_ESM.xlsx","Marker_genes_for_each_cluster-Unnamed_1",836,115,2.96,1.3e-26,3.72e-23,"41421_2021_280_MOESM4_ESM $ Marker_genes_for_each_cluster-Unnamed_1",3
"494","CD4 Naive","PMC6472965","Transcriptome networks identify mechanisms of viral and nonviral asthma exacerbations in children","41590_2019_347_MOESM3_ESM.xlsx","Gene_symbols-m1_b",2114,191,2.22,2.96e-28,3.85e-23,"41590_2019_347_MOESM3_ESM $ Gene_symbols-m1_b",1
"495","CD16 Mono","PMC7831653","Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid","mmc3.xlsx","DE_mono2_vs_mono1_and_mono3-gene",2422,168,2.32,8.54e-28,3.96e-23,"mmc3 $ DE_mono2_vs_mono1_and_mono3-gene",5
"496","CD4 TCM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S52-Table_S52",2394,257,1.88,1.12e-26,4.07e-23,"41467_2022_33780_MOESM3_ESM $ Table_S52-Table_S52",5
"497","CD4 TCM","PMC10293012","Phenotypic diversity of T cells in human primary and metastatic brain tumors revealed by multiomic interrogation","43018_2023_566_MOESM2_ESM.xlsx","1B-Supplementary_Table_1B_CD8_cluster-specific_genes_related_to_Fig_1",1415,181,2.24,1.13e-26,4.07e-23,"43018_2023_566_MOESM2_ESM $ 1B-Supplementary_Table_1B_CD8_cluster-specific_genes_related_to_Fig_1",5
"498","CD4 TCM","PMC7831653","Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid","mmc3.xlsx","DE_mono2_vs_mono1_and_mono3-gene",2422,259,1.87,1.18e-26,4.22e-23,"mmc3 $ DE_mono2_vs_mono1_and_mono3-gene",5
"499","CD8 TEM","PMC9197762","Immune disease risk variants regulate gene expression dynamics during CD4+ T cell activation","41588_2022_1066_MOESM4_ESM.xlsx","Supplementary_Table_3-Unnamed_1",1162,140,2.59,1.5e-26,4.29e-23,"41588_2022_1066_MOESM4_ESM $ Supplementary_Table_3-Unnamed_1",3
"500","CD8 TEM","PMC5844691","The transcription factors Runx3 and ThPOK cross-regulate acquisition of cytotoxic function by human Th1 lymphocytes","elife-30496-supp1.xls","All_GeneLists-Unnamed_6",863,117,2.91,1.62e-26,4.6e-23,"elife-30496-supp1 $ All_GeneLists-Unnamed_6",2
"501","CD4 TCM","PMC9950534","Single-cell RNA sequencing identifies a population of human liver-type ILC1s","NIHMS1870503-supplement-2.xlsx","DEGs_cell_type_batch_1-Unnamed_0",2167,240,1.94,1.3e-26,4.62e-23,"NIHMS1870503-supplement-2 $ DEGs_cell_type_batch_1-Unnamed_0",4
"502","CD4 TCM","PMC8987207","Monoallelic Heb/Tcf12 Deletion Reduces the Requirement for NOTCH1 Hyperactivation in T-Cell Acute Lymphoblastic Leukemia","DataSheet_1.xls","TF_targets_Fig_2A-HEB_CCRFCEM_ChIP-seq",2451,261,1.86,1.3e-26,4.62e-23,"DataSheet_1 $ TF_targets_Fig_2A-HEB_CCRFCEM_ChIP-seq",3
"503","CD8 TEM","PMC4132091","Identification of Significant Features by the Global Mean Rank Test","pone.0104504.s006.txt","FilteredGenenames",2263,214,2.03,1.65e-26,4.67e-23,"pone.0104504.s006.txt $ FilteredGenenames",3
"504","CD16 Mono","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S6-Unnamed_6",2058,152,2.48,1.08e-27,4.69e-23,"Data_Sheet_2 $ Table_S6-Unnamed_6",2
"505","CD14 Mono","PMC9618568","Defining cellular complexity in human autosomal dominant polycystic kidney disease by multimodal single cell analysis","41467_2022_34255_MOESM8_ESM.xlsx","LEUK-gene",1205,124,2.83,4.17e-27,4.87e-23,"41467_2022_34255_MOESM8_ESM $ LEUK-gene",3
"506","CD14 Mono","PMC5927328","β-Glucan Reverses the Epigenetic State of LPS-Induced Immunological Tolerance","NIHMS77085-supplement-Table_S2.xlsx","Table_S2A_Genes_H3K27ac_enh-Unnamed_2",2320,185,2.19,4.19e-27,4.87e-23,"NIHMS77085-supplement-Table_S2 $ Table_S2A_Genes_H3K27ac_enh-Unnamed_2",2
"507","CD8 TEM","PMC9722937","Single-cell sequencing shows cellular heterogeneity of cutaneous lesions in lupus erythematosus","41467_2022_35209_MOESM15_ESM.xlsx","epidermis-Unnamed_7",2105,204,2.08,1.74e-26,4.88e-23,"41467_2022_35209_MOESM15_ESM $ epidermis-Unnamed_7",5
"508","CD14 Mono","PMC7857060","COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas","mmc5.xlsx","NeutrophilV_vs_V--Unnamed_7",1426,137,2.64,4.3e-27,4.9e-23,"mmc5 $ NeutrophilV_vs_V--Unnamed_7",2
"509","CD16 Mono","PMC9288051","Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia","13046_2022_2428_MOESM4_ESM.xlsx","Super_enhancers_in_AML10-CLOSEST_GENE",1398,121,2.9,1.22e-27,4.93e-23,"13046_2022_2428_MOESM4_ESM $ Super_enhancers_in_AML10-CLOSEST_GENE",5
"510","CD14 Mono","PMC3419980","Depletion of RUNX1/ETO in t(8;21) AML cells leads to genome-wide changes in chromatin structure and transcription factor binding","leu201249x3.xls","genes_list_all-All_genes_in_patients_A_B",1972,167,2.33,4.43e-27,4.96e-23,"leu201249x3 $ genes_list_all-All_genes_in_patients_A_B",4
"511","CD4 TCM","PMC9399107","scRNA-seq of gastric tumor shows complex intercellular interaction with an alternative T cell exhaustion trajectory","41467_2022_32627_MOESM6_ESM.xlsx","NK_NKT_and_γδT_subsets-gene_name_αβ_T",483,94,3.41,1.43e-26,5.05e-23,"41467_2022_32627_MOESM6_ESM $ NK_NKT_and_γδT_subsets-gene_name_αβ_T",2
"512","CD16 Mono","PMC9307320","Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration","si_table_5_ddac043.xlsx","macrophage-inf-ensembl_id",1360,119,2.93,1.39e-27,5.33e-23,"si_table_5_ddac043 $ macrophage-inf-ensembl_id",2
"513","CD4 TCM","PMC9722937","Single-cell sequencing shows cellular heterogeneity of cutaneous lesions in lupus erythematosus","41467_2022_35209_MOESM12_ESM.xlsx","dermis-Unnamed_7",1013,146,2.52,1.61e-26,5.64e-23,"41467_2022_35209_MOESM12_ESM $ dermis-Unnamed_7",3
"514","CD8 TEM","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s007.xlsx","6j_Tiger-Unnamed_1",2155,207,2.06,2.04e-26,5.71e-23,"CTM2-12-e689-s007 $ 6j_Tiger-Unnamed_1",5
"515","CD8 TEM","PMC8483338","The HTLV-1 viral oncoproteins Tax and HBZ reprogram the cellular mRNA splicing landscape","ppat.1009919.s010.xlsx","9-ASEs_detected_in_HTLV-1_carriers_of_the_Japanese_cohort",2267,214,2.03,2.1e-26,5.85e-23,"ppat.1009919.s010 $ 9-ASEs_detected_in_HTLV-1_carriers_of_the_Japanese_cohort",5
"516","CD8 TEM","PMC7744012","Cell-Type-Specific Immune Dysregulation in Severely Ill COVID-19 Patients","mmc4.xlsx","Table_3_1_DEG_COVID_vs_Healthy-NK_cells_Differentially_expressed_genes_between_healthy_and_COVID-19_patients",1290,149,2.48,2.17e-26,6.04e-23,"mmc4 $ Table_3_1_DEG_COVID_vs_Healthy-NK_cells_Differentially_expressed_genes_between_healthy_and_COVID-19_patients",2
"517","CD4 TCM","PMC8298514","Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis","41467_2021_24813_MOESM5_ESM.xlsx","LNC_vs_EC_gain_enhancer-SYMBOL",1704,204,2.1,1.74e-26,6.07e-23,"41467_2021_24813_MOESM5_ESM $ LNC_vs_EC_gain_enhancer-SYMBOL",3
"518","CD16 Mono","PMC7854640","Tumour heterogeneity and intercellular networks of nasopharyngeal carcinoma at single cell resolution","41467_2021_21043_MOESM8_ESM.xlsx","Supplementary_Data_5-Unnamed_1",2460,169,2.3,1.69e-27,6.1e-23,"41467_2021_21043_MOESM8_ESM $ Supplementary_Data_5-Unnamed_1",4
"519","CD8 TEM","PMC8298514","Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis","41467_2021_24813_MOESM7_ESM.xlsx","SE_in_LNC-Gene",684,102,3.21,2.21e-26,6.11e-23,"41467_2021_24813_MOESM7_ESM $ SE_in_LNC-Gene",5
"520","CD4 TCM","PMC8097059","Proteomics of resistance to Notch1 inhibition in acute lymphoblastic leukemia reveals targetable kinase signatures","41467_2021_22787_MOESM7_ESM.xlsx","PDTALL19_Phosphoproteome-PG_Genes",2456,261,1.86,1.78e-26,6.19e-23,"41467_2021_22787_MOESM7_ESM $ PDTALL19_Phosphoproteome-PG_Genes",4
"521","CD4 TCM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S48-Table_S48",1667,201,2.11,1.84e-26,6.35e-23,"41467_2022_33780_MOESM3_ESM $ Table_S48-Table_S48",4
