Cell,Feature,p value,adjusted p value
CD16 Mono,MIR142,0.000245905,0.008408687
CD16 Mono,CNOT11,0.000252623,0.008625948
CD16 Mono,SCN10A,0.000256036,0.00872991
CD16 Mono,PPP2CA,0.000260703,0.008876278
CD16 Mono,CPT1A,0.000261501,0.008890659
CD16 Mono,RLF,0.000262715,0.008919146
CD16 Mono,MIR6075,0.00026479,0.00897671
CD16 Mono,FAM83D,0.000270033,0.00914085
CD16 Mono,POLDIP2,0.000270403,0.00914085
CD16 Mono,EFEMP2,0.00027087,0.009143606
CD16 Mono,STARD10,0.000279365,0.009416945
CD16 Mono,MIR3917,0.00028156,0.009477467
CD16 Mono,KLF2,0.000285853,0.009608324
CD16 Mono,EXOSC5,0.000287491,0.009649673
CD16 Mono,NCRNA00250,0.000292308,0.009797492
CD16 Mono,ADAP1,0.000293953,0.009831964
CD16 Mono,WDR25,0.000294166,0.009831964
CD16 Mono,ATP2A3,0.000298055,0.009947885
CD4 Naive,IGSF8,0,0
CD4 Naive,CEP350,0,0
CD4 Naive,PJVK,0,0
CD4 Naive,HTT-AS,0,0
CD4 Naive,METAP1,0,0
CD4 Naive,SUN1,0,0
CD4 Naive,VPS50,0,0
CD4 Naive,LOC101928530,0,0
CD4 Naive,USPL1,0,0
CD4 Naive,TMEM102,0,0
CD4 Naive,MIR4724,0,0
CD4 Naive,SMARCD2,0,0
CD4 Naive,ZNF846,0,0
CD4 Naive,LYPD3,0,0
CD4 Naive,NOSIP,0,0
CD4 Naive,ELL,7.6826E-301,1.1378E-297
CD4 Naive,THNSL1,6.2388E-281,8.6965E-278
CD4 Naive,C6orf62,1.3205E-278,1.7384E-275
CD4 Naive,SLC19A1,8.5567E-272,1.0672E-268
CD4 Naive,COMMD6,1.1806E-262,1.3988E-259
CD4 Naive,MPZ,1.9865E-249,2.2416E-246
CD4 Naive,LPCAT3,7.9357E-237,8.5479E-234
CD4 Naive,KAT7,5.6926E-231,5.8651E-228
CD4 Naive,ZCWPW2,1.4864E-228,1.4677E-225
CD4 Naive,BET1,9.2835E-224,8.7996E-221
CD4 Naive,FAM228B,2.3534E-221,2.145E-218
CD4 Naive,LOC105377590,5.1304E-212,4.5028E-209
CD4 Naive,CEP85,1.473E-206,1.2466E-203
CD4 Naive,PRR3,5.5591E-201,4.5425E-198
CD4 Naive,RAVER1,3.5371E-200,2.794E-197
CD4 Naive,WDR75,4.4487E-198,3.4006E-195
CD4 Naive,BCL9,4.0608E-189,3.0071E-186
CD4 Naive,ZNF652,2.1425E-186,1.5385E-183
CD4 Naive,C1GALT1,1.0047E-178,7.0023E-176
CD4 Naive,PWWP2A,5.7851E-178,3.9168E-175
CD4 Naive,KLHL32,2.9581E-177,1.9472E-174
CD4 Naive,DEPTOR,9.415E-175,6.03E-172
CD4 Naive,MXI1,8.9927E-170,5.6079E-167
CD4 Naive,MED4,1.1515E-163,6.9969E-161
CD4 Naive,ANP32B,4.3209E-162,2.5598E-159
CD4 Naive,PABPC1,4.4847E-162,2.5921E-159
CD4 Naive,OSGIN2,7.1395E-159,4.0282E-156
CD4 Naive,ACER2,2.7746E-146,1.5291E-143
CD4 Naive,ZBTB37,4.2556E-146,2.2919E-143
CD4 Naive,MYO1D,2.8654E-145,1.5089E-142
CD4 Naive,ZNF816,5.5921E-143,2.8808E-140
CD4 Naive,C1orf50,7.4587E-142,3.7606E-139
CD4 Naive,TRNAU1AP,1.8438E-138,9.1028E-136
CD4 Naive,CCDC114,3.1231E-136,1.5104E-133
CD4 Naive,TMEM106B,3.041E-133,1.4413E-130
CD4 Naive,PRPF19,4.2904E-131,1.9935E-128
CD4 Naive,TCTN3,8.093E-131,3.6881E-128
CD4 Naive,ILF3,1.3037E-127,5.8292E-125
CD4 Naive,BMT2,6.6889E-121,2.9353E-118
CD4 Naive,TNFAIP3,4.1035E-119,1.768E-116
CD4 Naive,FCHO1,4.2725E-117,1.808E-114
CD4 Naive,ZSCAN18,1.2366E-116,5.1408E-114
CD4 Naive,TC2N,4.0153E-116,1.6405E-113
CD4 Naive,BRSK2,1.3128E-115,5.2729E-113
CD4 Naive,RTTN,6.2909E-115,2.4846E-112
CD4 Naive,SAMHD1,1.9485E-114,7.5696E-112
CD4 Naive,RELCH,3.1454E-112,1.2022E-109
CD4 Naive,ORMDL1,8.7506E-111,3.2915E-108
CD4 Naive,ZBTB4,7.3213E-110,2.7108E-107
CD4 Naive,TTK,4.3787E-109,1.5963E-106
CD4 Naive,ABCD3,9.1746E-107,3.2941E-104
CD4 Naive,MCU,4.6745E-104,1.6533E-101
CD4 Naive,ACVR1B,7.7612E-104,2.7047E-101
CD4 Naive,CCDC102B,1.2952E-103,4.4481E-101
CD4 Naive,WDSUB1,2.692E-103,9.1133E-101
CD4 Naive,PPP1CA,2.2833E-102,7.6206E-100
CD4 Naive,LOC105371083,6.31062E-97,2.07698E-94
CD4 Naive,HIVEP2,1.5541E-94,5.04487E-92
CD4 Naive,GUF1,2.0592E-93,6.59418E-91
CD4 Naive,FAM193B,6.43588E-93,2.03348E-90
CD4 Naive,TROVE2,8.79948E-90,2.7437E-87
CD4 Naive,AES,2.64643E-87,8.14448E-85
CD4 Naive,POC5,1.25724E-83,3.8196E-81
CD4 Naive,CCDC148,1.28952E-82,3.86808E-80
CD4 Naive,ZNF277,8.44033E-82,2.50013E-79
CD4 Naive,LOC101927752,2.35405E-79,6.88689E-77
CD4 Naive,SYT11,5.34955E-79,1.52733E-76
CD4 Naive,SNRPE,5.34955E-79,1.52733E-76
CD4 Naive,ACTR6,1.27546E-78,3.59817E-76
CD4 Naive,HNRNPC,3.2222E-77,8.98312E-75
CD4 Naive,MIR4475,1.38629E-76,3.81986E-74
CD4 Naive,SLC25A42,9.64631E-75,2.5976E-72
CD4 Naive,PSMD8,9.64631E-75,2.5976E-72
CD4 Naive,RUNDC3B,6.94654E-74,1.84958E-71
CD4 Naive,DNPEP,1.59861E-73,4.20913E-71
CD4 Naive,HP1BP3,9.82197E-73,2.55771E-70
CD4 Naive,ZNF573,1.23378E-71,3.17791E-69
CD4 Naive,ASB7,2.10513E-71,5.36401E-69
CD4 Naive,RNF216,2.30081E-71,5.80024E-69
CD4 Naive,ZNF131,1.98694E-69,4.95627E-67
CD4 Naive,RCAN3,7.54042E-69,1.86131E-66
CD4 Naive,ENSA,5.22604E-68,1.27671E-65
CD4 Naive,SLAIN1,1.4078E-67,3.40414E-65
CD4 Naive,KCTD2,1.75264E-67,4.19519E-65
CD4 Naive,ZFP91,1.96379E-67,4.6536E-65
CD4 Naive,ERCC5,6.55477E-66,1.53791E-63
CD4 Naive,BCL9L,1.82673E-65,4.24393E-63
CD4 Naive,DHX58,5.83987E-65,1.34357E-62
CD4 Naive,BICRAL,9.40723E-65,2.14349E-62
CD4 Naive,TLE6,2.82655E-64,6.35512E-62
CD4 Naive,RGS10,2.84273E-64,6.35512E-62
CD4 Naive,LINC01806,5.10708E-64,1.13105E-61
CD4 Naive,NDUFS8,7.91348E-64,1.73635E-61
CD4 Naive,RNF43,1.58871E-63,3.45391E-61
CD4 Naive,STXBP5,2.9011E-63,6.24975E-61
CD4 Naive,AGPAT1,3.7144E-63,7.85894E-61
CD4 Naive,ZNF77,3.7144E-63,7.85894E-61
CD4 Naive,PDXDC2P-NPIPB14P,5.23933E-62,1.09873E-59
CD4 Naive,PTBP2,6.14038E-62,1.27639E-59
CD4 Naive,TMEM106C,1.20103E-61,2.47486E-59
CD4 Naive,SNHG19,1.3857E-61,2.83076E-59
CD4 Naive,ZDHHC17,3.62866E-61,7.34943E-59
CD4 Naive,SLITRK1,1.65879E-60,3.33122E-58
CD4 Naive,CBX3,3.02675E-60,6.0273E-58
CD4 Naive,SS18L2,4.9326E-60,9.74066E-58
CD4 Naive,CALM2,1.01955E-59,1.99671E-57
CD4 Naive,IL21-AS1,4.3985E-59,8.54354E-57
CD4 Naive,SDHB,1.66109E-58,3.20024E-56
CD4 Naive,DAAM1,1.95801E-58,3.74185E-56
CD4 Naive,TMEM135,7.74774E-58,1.46878E-55
CD4 Naive,IL4I1,4.39945E-57,8.2741E-55
CD4 Naive,FN3KRP,5.32409E-57,9.93424E-55
CD4 Naive,PLCXD2,8.99118E-57,1.66456E-54
CD4 Naive,ACADVL,1.25298E-56,2.3017E-54
CD4 Naive,LINC01307,1.73426E-56,3.16129E-54
CD4 Naive,CDC37L1-DT,2.16898E-56,3.92354E-54
CD4 Naive,AVL9,8.73199E-56,1.56759E-53
CD4 Naive,CPSF6,9.45678E-56,1.68494E-53
CD4 Naive,TMEM161B-AS1,2.9378E-55,5.1953E-53
CD4 Naive,POLD3,3.15639E-55,5.54052E-53
CD4 Naive,TEPP,5.25431E-55,9.15525E-53
CD4 Naive,SLC16A10,3.03709E-54,5.25327E-52
CD4 Naive,ALG11,4.22288E-54,7.25142E-52
CD4 Naive,IPO5P1,4.40911E-54,7.51675E-52
CD4 Naive,EGR2,3.81596E-53,6.45905E-51
CD4 Naive,LOC100507351,4.35405E-53,7.31759E-51
CD4 Naive,ASPM,8.89898E-53,1.48506E-50
CD4 Naive,ZNF571,5.57507E-52,9.23864E-50
CD4 Naive,CD44,3.30403E-51,5.43719E-49
CD4 Naive,STX7,9.04998E-51,1.47902E-48
CD4 Naive,CACNA1H,1.00295E-50,1.62787E-48
CD4 Naive,THAP9,1.09221E-50,1.76069E-48
CD4 Naive,GNB2,8.26565E-50,1.32345E-47
CD4 Naive,KPNA1,9.39481E-50,1.49415E-47
CD4 Naive,LMTK3,1.0089E-49,1.59386E-47
CD4 Naive,SRCAP,3.62378E-49,5.68694E-47
CD4 Naive,ACO1,5.08983E-49,7.93512E-47
CD4 Naive,HACE1,9.44727E-49,1.46322E-46
CD4 Naive,LINC00226,1.52782E-48,2.35095E-46
CD4 Naive,HDAC5,1.72423E-48,2.63607E-46
CD4 Naive,ZNF331,2.02549E-48,3.07679E-46
CD4 Naive,LINC01336,6.8286E-48,1.03068E-45
CD4 Naive,MSH6,1.78898E-47,2.68313E-45
CD4 Naive,NXPE3,1.86296E-46,2.77652E-44
CD4 Naive,USP25,2.10237E-46,3.11373E-44
CD4 Naive,PPP1R35,1.50991E-45,2.22238E-43
CD4 Naive,EEA1,3.40449E-45,4.98002E-43
CD4 Naive,ARL5A,9.6041E-45,1.39625E-42
CD4 Naive,ST8SIA4,1.80534E-44,2.60861E-42
CD4 Naive,TMPO,4.02072E-44,5.77449E-42
CD4 Naive,CDC73,9.50992E-44,1.35757E-41
CD4 Naive,PPM1M,1.22147E-43,1.73325E-41
CD4 Naive,SELENON,1.50901E-43,2.12851E-41
CD4 Naive,RNF13,1.80008E-43,2.52405E-41
CD4 Naive,OVCA2,3.65367E-43,5.09301E-41
CD4 Naive,IVNS1ABP,6.10847E-43,8.46506E-41
CD4 Naive,LOC100128770,7.88901E-43,1.08689E-40
CD4 Naive,LINC01031,1.07044E-42,1.46625E-40
CD4 Naive,ZNF681,1.11827E-42,1.52297E-40
CD4 Naive,TFAM,1.37411E-42,1.8607E-40
CD4 Naive,MANEA-DT,3.2535E-42,4.38057E-40
CD4 Naive,RTN4R,6.50531E-42,8.7094E-40
CD4 Naive,ACTG1,6.71826E-42,8.94397E-40
CD4 Naive,PITPNC1,8.98074E-42,1.18892E-39
CD4 Naive,ASXL1,1.47602E-41,1.94318E-39
CD4 Naive,HSPB6,1.59486E-41,2.08803E-39
CD4 Naive,USP53,1.66327E-41,2.16563E-39
CD4 Naive,CARNS1,2.05121E-41,2.65615E-39
CD4 Naive,GPR180,2.95171E-41,3.80144E-39
CD4 Naive,PCBP3,3.26044E-41,4.17636E-39
CD4 Naive,MYCBP2,6.31426E-41,8.04456E-39
CD4 Naive,NME7,7.24351E-41,9.17912E-39
CD4 Naive,PDCD4,8.23276E-41,1.03772E-38
CD4 Naive,NPTN,9.20874E-41,1.1546E-38
CD4 Naive,PLEKHH3,1.01627E-40,1.2675E-38
CD4 Naive,CKAP4,6.73393E-40,8.35465E-38
CD4 Naive,PRKACB,7.65684E-40,9.45021E-38
CD4 Naive,CD6,9.16932E-40,1.12583E-37
CD4 Naive,SNORD118,1.36561E-39,1.66808E-37
CD4 Naive,CPLX2,1.75761E-39,2.13591E-37
CD4 Naive,ESS2,1.94836E-39,2.35563E-37
CD4 Naive,DPP4,2.93092E-39,3.52559E-37
CD4 Naive,QSOX1,5.91448E-39,7.07856E-37
CD4 Naive,FOSB,7.38125E-39,8.78962E-37
CD4 Naive,SSTR3,9.52575E-39,1.12866E-36
CD4 Naive,ZNF836,1.36184E-38,1.60555E-36
CD4 Naive,GPR88,3.81842E-38,4.47946E-36
CD4 Naive,PLCG1,5.48293E-38,6.40045E-36
CD4 Naive,ARHGAP21,2.04058E-37,2.37037E-35
CD4 Naive,TTC21B,2.66689E-37,3.08279E-35
CD4 Naive,ZP3,4.02848E-37,4.63412E-35
CD4 Naive,ZNF443,6.55214E-37,7.50077E-35
CD4 Naive,PEX1,1.62621E-36,1.85271E-34
CD4 Naive,CHD2,3.94649E-36,4.47464E-34
CD4 Naive,NFIA-AS2,4.99805E-36,5.63994E-34
CD4 Naive,CACYBP,1.03063E-35,1.15748E-33
CD4 Naive,SPOCK2,1.20664E-35,1.34877E-33
CD4 Naive,TAP1,1.48814E-35,1.65561E-33
CD4 Naive,LEF1,2.43474E-35,2.69608E-33
CD4 Naive,CELF5,2.47166E-35,2.72423E-33
CD4 Naive,LOC101929054,2.89225E-35,3.17304E-33
CD4 Naive,AK9,3.24021E-35,3.5384E-33
CD4 Naive,GNPTAB,3.66065E-35,3.9792E-33
CD4 Naive,NSUN3,4.73973E-35,5.12865E-33
CD4 Naive,CH25H,4.83165E-35,5.20435E-33
CD4 Naive,LSR,5.40015E-35,5.79038E-33
CD4 Naive,COMMD8,5.8049E-35,6.19634E-33
CD4 Naive,AP3B2,1.16862E-34,1.24183E-32
CD4 Naive,TMEM126A,1.12887E-33,1.19423E-31
CD4 Naive,CCDC191,2.527E-33,2.66143E-31
CD4 Naive,RNF216-IT1,3.62838E-33,3.8045E-31
CD4 Naive,GARNL3,5.03663E-33,5.25784E-31
CD4 Naive,KAT6B,7.98774E-33,8.30199E-31
CD4 Naive,TSPYL4,1.08101E-32,1.11864E-30
CD4 Naive,ZNF136,1.68319E-32,1.7342E-30
CD4 Naive,G6PC2,1.76365E-32,1.80923E-30
CD4 Naive,DDIAS,7.64679E-32,7.8106E-30
CD4 Naive,ETHE1,1.05827E-31,1.0763E-29
CD4 Naive,HIST1H3C,2.01199E-31,2.03753E-29
CD4 Naive,SERPINI1,4.25271E-31,4.28836E-29
CD4 Naive,TPK1,5.03306E-31,5.05374E-29
CD4 Naive,PTPRK,6.82454E-31,6.82367E-29
CD4 Naive,MARCKSL1,7.36813E-31,7.33624E-29
CD4 Naive,SLC12A2,7.39987E-31,7.33702E-29
CD4 Naive,ARGLU1,7.87293E-31,7.77353E-29
CD4 Naive,DNAJC28,1.11996E-30,1.10124E-28
CD4 Naive,HIST1H4C,1.97771E-30,1.92863E-28
CD4 Naive,CPSF1,1.97771E-30,1.92863E-28
CD4 Naive,CCDC7,3.07427E-30,2.9857E-28
CD4 Naive,C20orf27,3.2968E-30,3.18874E-28
CD4 Naive,RASA2,3.70505E-30,3.56905E-28
CD4 Naive,ZNF107,5.34155E-30,5.12465E-28
CD4 Naive,HCG25,6.76594E-30,6.46502E-28
CD4 Naive,NGRN,2.12697E-29,2.02421E-27
CD4 Naive,TMEM184C,2.50061E-29,2.37028E-27
CD4 Naive,SETD7,2.56688E-29,2.4234E-27
CD4 Naive,GLIPR1,3.9097E-29,3.67651E-27
CD4 Naive,PIK3CA,4.37651E-29,4.09922E-27
CD4 Naive,RGS12,6.13097E-29,5.71991E-27
CD4 Naive,TUBB4B,8.8226E-29,8.19879E-27
CD4 Naive,MIR6716,9.69525E-29,8.97454E-27
CD4 Naive,SRSF1,1.1969E-28,1.10362E-26
CD4 Naive,DYNC2H1,1.29317E-28,1.18776E-26
CD4 Naive,WDR7,1.3005E-28,1.18988E-26
CD4 Naive,GRSF1,1.55296E-28,1.41541E-26
CD4 Naive,MIR4655,2.89874E-28,2.63185E-26
CD4 Naive,C9orf40,3.15424E-28,2.8529E-26
CD4 Naive,ST8SIA1,3.95126E-28,3.56019E-26
CD4 Naive,LOC101927497,4.42071E-28,3.96809E-26
CD4 Naive,MIA3,7.14911E-28,6.39293E-26
CD4 Naive,BTBD11,9.44767E-28,8.4166E-26
CD4 Naive,AMACR,1.74842E-27,1.55177E-25
CD4 Naive,ARAP2,2.45497E-27,2.17073E-25
CD4 Naive,SLC39A8,2.90023E-27,2.5549E-25
CD4 Naive,DCAF16,3.39143E-27,2.97654E-25
CD4 Naive,OSGEPL1-AS1,3.58783E-27,3.1373E-25
CD4 Naive,HBQ1,5.06538E-27,4.41302E-25
CD4 Naive,CLDN12,2.87256E-26,2.49345E-24
CD4 Naive,CENPK,3.14992E-26,2.72422E-24
CD4 Naive,FGF14-IT1,3.16242E-26,2.72509E-24
CD4 Naive,ZNF492,4.18056E-26,3.58938E-24
CD4 Naive,LTBP3,4.40457E-26,3.76805E-24
CD4 Naive,ADH5,6.26931E-26,5.34402E-24
CD4 Naive,SCAPER,1.42519E-25,1.21049E-23
CD4 Naive,ZNF343,5.6948E-25,4.81963E-23
CD4 Naive,LINC00501,5.92439E-25,4.99609E-23
CD4 Naive,TNK1,7.111E-25,5.97551E-23
CD4 Naive,RASAL1,8.29432E-25,6.94525E-23
CD4 Naive,ZMYM2,8.70528E-25,7.2637E-23
CD4 Naive,TOMM7,9.86381E-25,8.2015E-23
CD4 Naive,ZNF506,1.61549E-24,1.33854E-22
CD4 Naive,LINC00895,1.87862E-24,1.55114E-22
CD4 Naive,LOC100129620,2.75688E-24,2.26839E-22
CD4 Naive,NECTIN3-AS1,3.57694E-24,2.93296E-22
CD4 Naive,NAP1L4,3.81494E-24,3.11733E-22
CD4 Naive,GGA1,4.07902E-24,3.32167E-22
CD4 Naive,ZHX2,6.17427E-24,5.01067E-22
CD4 Naive,RHOH,6.65817E-24,5.38494E-22
CD4 Naive,LOC102606465,1.38563E-23,1.11685E-21
CD4 Naive,RNF219,1.8717E-23,1.50351E-21
CD4 Naive,AEBP2,2.08338E-23,1.6679E-21
CD4 Naive,AKNA,2.34179E-23,1.86846E-21
CD4 Naive,AMN1,2.72876E-23,2.16991E-21
CD4 Naive,MIR6719,3.68134E-23,2.91762E-21
CD4 Naive,MIR3154,3.84297E-23,3.03556E-21
CD4 Naive,EEF1AKMT1,5.09992E-23,4.01505E-21
CD4 Naive,LEF1-AS1,5.49098E-23,4.3086E-21
CD4 Naive,NKX1-1,6.75461E-23,5.28264E-21
CD4 Naive,NDUFB6,7.37744E-23,5.75077E-21
CD4 Naive,CDC123,9.392E-23,7.29712E-21
CD4 Naive,RNF157,1.35778E-22,1.05148E-20
CD4 Naive,C2CD5,1.62671E-22,1.25564E-20
CD4 Naive,SULT1B1,1.66407E-22,1.28031E-20
CD4 Naive,RADX,3.06009E-22,2.34677E-20
CD4 Naive,GEMIN2,5.5625E-22,4.25208E-20
CD4 Naive,ERGIC2,6.25252E-22,4.76418E-20
CD4 Naive,MIR4316,6.90732E-22,5.24624E-20
CD4 Naive,SRSF11,7.97846E-22,6.04044E-20
CD4 Naive,RANBP6,9.59197E-22,7.23889E-20
CD4 Naive,LOC100506985,9.99655E-22,7.52026E-20
CD4 Naive,ARMH2,1.32037E-21,9.90155E-20
CD4 Naive,GALNT4,1.57238E-21,1.17541E-19
CD4 Naive,LINC01725,2.48771E-21,1.85381E-19
CD4 Naive,TOPORS,2.52689E-21,1.87124E-19
CD4 Naive,BRCA2,2.52689E-21,1.87124E-19
CD4 Naive,LINC00620,2.71503E-21,2.0043E-19
CD4 Naive,MCM10,3.4605E-21,2.54669E-19
CD4 Naive,MAP3K5,3.64578E-21,2.67474E-19
CD4 Naive,LMAN2,3.66146E-21,2.67795E-19
CD4 Naive,PRPF40A,4.58808E-21,3.34534E-19
CD4 Naive,DUSP3,4.87997E-21,3.54726E-19
CD4 Naive,ADGRG6,5.26289E-21,3.8139E-19
CD4 Naive,LINC02611,1.21425E-20,8.74589E-19
CD4 Naive,FAM171A2,1.21425E-20,8.74589E-19
CD4 Naive,UFL1,2.77611E-20,1.9935E-18
CD4 Naive,FAM13A-AS1,3.03323E-20,2.17155E-18
CD4 Naive,L3HYPDH,3.27927E-20,2.34063E-18
CD4 Naive,GABRR3,4.24974E-20,3.02421E-18
CD4 Naive,CPT1C,4.38256E-20,3.10939E-18
CD4 Naive,LOC101929210,4.79658E-20,3.39297E-18
CD4 Naive,ITPKB-IT1,5.67857E-20,4.00491E-18
CD4 Naive,ACVR1C,8.11402E-20,5.70558E-18
CD4 Naive,PRMT9,8.96763E-20,6.28716E-18
CD4 Naive,GTPBP10,9.5091E-20,6.64711E-18
CD4 Naive,PYCR1,1.79929E-19,1.25405E-17
CD4 Naive,TMSB10,1.91488E-19,1.3307E-17
CD4 Naive,N4BP2L2,2.00506E-19,1.3893E-17
CD4 Naive,TMEM67,2.13587E-19,1.47562E-17
CD4 Naive,OGFRL1,2.30503E-19,1.58786E-17
CD4 Naive,BRIX1,3.23855E-19,2.22446E-17
CD4 Naive,CAB39L,4.6848E-19,3.20854E-17
CD4 Naive,ALS2CL,5.10321E-19,3.48504E-17
CD4 Naive,ZNF680,7.48259E-19,5.09526E-17
CD4 Naive,GRAMD1C,8.15585E-19,5.5378E-17
CD4 Naive,LINC00880,8.19349E-19,5.54746E-17
CD4 Naive,SARDH,1.07612E-18,7.26519E-17
CD4 Naive,KIZ,1.09911E-18,7.39932E-17
CD4 Naive,GGH,1.23834E-18,8.31301E-17
CD4 Naive,CSPP1,1.25361E-18,8.39177E-17
CD4 Naive,TCF25,1.40359E-18,9.36925E-17
CD4 Naive,OSBPL8,1.69982E-18,1.13148E-16
CD4 Naive,REPS1,1.76722E-18,1.17305E-16
CD4 Naive,DEPDC1B,3.62218E-18,2.39762E-16
CD4 Naive,GMPR,4.86946E-18,3.21425E-16
CD4 Naive,CAST,5.75946E-18,3.79117E-16
CD4 Naive,ODF2L,6.31654E-18,4.14634E-16
CD4 Naive,ABHD10,6.64036E-18,4.34687E-16
CD4 Naive,TRPC1,7.04584E-18,4.58696E-16
CD4 Naive,SENP2,7.04584E-18,4.58696E-16
CD4 Naive,FAM66C,7.76453E-18,5.02722E-16
CD4 Naive,DLL3,7.76453E-18,5.02722E-16
CD4 Naive,SCN2A,7.96327E-18,5.14184E-16
CD4 Naive,ADO,1.03597E-17,6.67103E-16
CD4 Naive,SLC29A2,1.05526E-17,6.7768E-16
CD4 Naive,ATG10,1.24517E-17,7.9748E-16
CD4 Naive,PIGV,2.09677E-17,1.33927E-15
CD4 Naive,FBXL17,2.15513E-17,1.37285E-15
CD4 Naive,SLC38A2,2.29218E-17,1.45624E-15
CD4 Naive,SATB1,2.3766E-17,1.50584E-15
CD4 Naive,LIG4,2.41559E-17,1.52646E-15
CD4 Naive,DDX60,2.94862E-17,1.85833E-15
CD4 Naive,LPIN3,3.56885E-17,2.24327E-15
CD4 Naive,TRIM31-AS1,3.63345E-17,2.27182E-15
CD4 Naive,SRF,3.63345E-17,2.27182E-15
CD4 Naive,ANKEF1,3.73718E-17,2.33053E-15
CD4 Naive,PLLP,4.2044E-17,2.615E-15
CD4 Naive,ABCD2,4.38012E-17,2.71717E-15
CD4 Naive,AVP,1.01946E-16,6.30758E-15
CD4 Naive,NFATC1,1.13864E-16,7.02664E-15
CD4 Naive,TPGS1,1.45963E-16,8.98412E-15
CD4 Naive,XKR7,1.5833E-16,9.7201E-15
CD4 Naive,MIR17HG,1.70676E-16,1.04509E-14
CD4 Naive,MFSD6,1.78975E-16,1.09308E-14
CD4 Naive,RNF2,1.84974E-16,1.12682E-14
CD4 Naive,MYNN,1.95175E-16,1.18288E-14
CD4 Naive,EXOSC8,1.95175E-16,1.18288E-14
CD4 Naive,TGDS,2.76201E-16,1.66967E-14
CD4 Naive,BTBD8,3.01526E-16,1.81813E-14
CD4 Naive,EPS8L2,4.24563E-16,2.55352E-14
CD4 Naive,MIR151B,4.69102E-16,2.81425E-14
CD4 Naive,FAM240A,4.75461E-16,2.8452E-14
CD4 Naive,MTERF1,5.77781E-16,3.44878E-14
CD4 Naive,SLC38A6,6.07239E-16,3.61552E-14
CD4 Naive,SLC38A1,7.49915E-16,4.45382E-14
CD4 Naive,NDFIP2-AS1,7.60639E-16,4.50621E-14
CD4 Naive,G3BP2,7.83465E-16,4.62987E-14
CD4 Naive,EFNB2,9.66338E-16,5.66815E-14
CD4 Naive,LTN1,9.66338E-16,5.66815E-14
CD4 Naive,PRPS1,9.66338E-16,5.66815E-14
CD4 Naive,LINC00539,1.2407E-15,7.25946E-14
CD4 Naive,USP33,1.32981E-15,7.76169E-14
CD4 Naive,KIAA1324L,1.96824E-15,1.14598E-13
CD4 Naive,CSF3,2.80404E-15,1.62861E-13
CD4 Naive,FKBP11,3.68803E-15,2.1368E-13
CD4 Naive,TSPAN33,4.31561E-15,2.49432E-13
CD4 Naive,PIGF,4.58168E-15,2.64166E-13
CD4 Naive,AFAP1L2,6.26935E-15,3.60594E-13
CD4 Naive,AGO2,6.51398E-15,3.73757E-13
CD4 Naive,RBM4B,1.11975E-14,6.40933E-13
CD4 Naive,ALLC,1.37836E-14,7.87062E-13
CD4 Naive,CFAP299,1.77515E-14,1.0112E-12
CD4 Naive,ENPP2,2.08507E-14,1.17923E-12
CD4 Naive,IFIT3,2.08507E-14,1.17923E-12
CD4 Naive,KATNBL1,2.08507E-14,1.17923E-12
CD4 Naive,GADD45A,2.68894E-14,1.51714E-12
CD4 Naive,LOC102724596,3.08297E-14,1.73532E-12
CD4 Naive,COQ9,3.90413E-14,2.19233E-12
CD4 Naive,WIPI2,6.10226E-14,3.41857E-12
CD4 Naive,LACTB2-AS1,8.72312E-14,4.87528E-12
CD4 Naive,CD96,1.15198E-13,6.42317E-12
CD4 Naive,MBD4,1.16799E-13,6.49713E-12
CD4 Naive,IPO8,1.29654E-13,7.19536E-12
CD4 Naive,TAF4B,1.34266E-13,7.43388E-12
CD4 Naive,SPATA5,1.3799E-13,7.62226E-12
CD4 Naive,PIGY-DT,1.4535E-13,8.01012E-12
CD4 Naive,TBRG4,1.556E-13,8.55511E-12
CD4 Naive,TATDN2,1.61017E-13,8.83246E-12
CD4 Naive,LOC102724323,1.64331E-13,8.99343E-12
CD4 Naive,MKLN1,1.84216E-13,1.00584E-11
CD4 Naive,KLF12,2.05562E-13,1.11982E-11
CD4 Naive,DENND2D,2.39278E-13,1.3005E-11
CD4 Naive,HOOK1,2.42565E-13,1.31534E-11
CD4 Naive,RIPOR2,2.57686E-13,1.39415E-11
CD4 Naive,ATP6V1A,2.75258E-13,1.48583E-11
CD4 Naive,PGGHG,2.99758E-13,1.6144E-11
CD4 Naive,CYP4F22,3.12822E-13,1.68094E-11
CD4 Naive,STX2,3.35292E-13,1.79761E-11
CD4 Naive,TTC27,3.82388E-13,2.04087E-11
CD4 Naive,MTERF3,3.82388E-13,2.04087E-11
CD4 Naive,SNTG2,4.02873E-13,2.14537E-11
CD4 Naive,MAP3K7,4.76669E-13,2.53265E-11
CD4 Naive,LINC01078,5.288E-13,2.80335E-11
CD4 Naive,PLEKHA4,5.80139E-13,3.06182E-11
CD4 Naive,LIMK2,5.80139E-13,3.06182E-11
CD4 Naive,CWF19L2,7.52479E-13,3.96255E-11
CD4 Naive,AGPAT3,8.98665E-13,4.72188E-11
CD4 Naive,TLK1,1.35425E-12,7.09993E-11
CD4 Naive,DCBLD2,1.41186E-12,7.3856E-11
CD4 Naive,SLC35A1,1.95985E-12,1.02296E-10
CD4 Naive,SNX27,2.02065E-12,1.05238E-10
